sedalea,year,sedaleaname,gslo,gshi,fips,stateabb,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesall,sesasn,sesblk,seshsp,sesnam,seswht,lninc50all,lninc50asn,lninc50blk,lninc50hsp,lninc50nam,lninc50wht,baplusall,baplusasn,baplusblk,baplushsp,baplusnam,bapluswht,povertyall,povertyasn,povertyblk,povertyhsp,povertynam,povertywht,unempall,unempasn,unempblk,unemphsp,unempnam,unempwht,snapall,snapasn,snapblk,snaphsp,snapnam,snapwht,single_momall,single_momasn,single_momblk,single_momhsp,single_momnam,single_momwht,seswhtblk,seswhthsp,seswhtasn,seswhtnam,urbanicity
5099926,2018,Lamoille South Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,116,0,.015804598,.043103449,.01867816,.90229887,.21386054,.048909441,.26276997,,.0040911748,.12565751,696,,,,,.077890016,.059316237,.10839258,,.010371679,.020023741,.10555428,,-.012949757,.013723216,,-.0054585338,.52589202,,,,,.61276764,10.886929,,,,,10.887404,.45290738,,,,,.44923493,.13758333,,,,,.12036239,.045859203,,,,,.046625413,.13405581,,,,,.1196584,.15782961,,,,,.13587892,,,,,Rural
5099927,2018,Orange East Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.14111179,.85888821,130.66667,0,.0076530613,.010204081,.0012755102,.97321427,.36737537,.11333712,.48071247,,.0097739771,.22602321,784,,,,,.25617298,.21812363,.022522246,,.027744982,.025467731,.028327098,,.01990434,.024021186,,-.0034220619,.30172119,,,,,.38084719,10.837042,,,,,10.877812,.3067058,,,,,.30774459,.12587602,,,,,.1090228,.051945876,,,,,.045909446,.15032695,,,,,.13827384,.14701964,,,,,.13616854,,,,,Rural
5099928,2018,Orange Southwest Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.082644626,.91735536,64.833336,0,.0051413882,.020565553,.0051413882,.94087404,.32022676,.094040319,.41426709,,.0035419127,.18536009,389,,,,,.26308337,.058013115,.0064663528,,.068966575,.0086938832,.0078142555,,.059820615,.0073450468,,.00045207888,.62282586,,,,,.67656368,10.975349,,,,,10.975974,.34305596,,,,,.33674625,.1032551,,,,,.099622168,.054131951,,,,,.047746733,.11448357,,,,,.10684577,.13738225,,,,,.12619704,,,,,Rural
5099930,2018,White River Valley Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.32632342,.67367655,103,0,.001618123,.011326861,.0032362461,.95792878,.40719485,.083087265,.49028215,,.0065264683,.20014504,618,,,,,.31718934,.32995668,.014543998,,.051225401,.068745986,.019723445,,.042279143,.065162078,,-.015311654,.56717229,,,,,.60773313,10.859778,,,,,10.861369,.33008927,,,,,.33031124,.12416235,,,,,.1110954,.047339424,,,,,.042422961,.10506678,,,,,.098973714,.13823237,,,,,.13200872,,,,,Rural
5099931,2018,North Country Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,.41194606,.58805394,0,0,0,0,0,0,0,0,.41194606,0,.51175338,.076300576,179.16667,.00093023258,.0027906976,.015813954,.012093023,.94604653,.45626074,.10010267,.5563634,,.0046242774,.23699422,1075,,,,,.13921715,.19397186,.017664606,,.014614353,.030254951,.02427252,,.016830366,.033316929,.0068570934,.028992265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural
5099932,2018,Washington Central Supervisory District,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,.60922486,.39077514,0,105.5,.0015797789,.015797788,.015797788,.014218009,.93048972,.19284156,.075613841,.26845542,,.00384369,.14862268,633,,,,,.15476273,.11980459,.032553244,,.038082447,.017031901,.033576377,,.033497501,.010807266,0,-.003328826,1.0820996,,,,,1.1424171,11.003621,,,,,11.006404,.41922018,,,,,.41594365,.07711231,,,,,.068545528,.026898997,,,,,.026881495,.078461841,,,,,.071342498,.1344751,,,,,.12673882,,,,,Rural
5099933,2018,Mill River Unified Union Supervisory District,Pre-Kindergarten,12,50,VT,0,0,.18201998,.81798005,0,0,0,0,0,0,0,.18201998,0,.49389568,.32408434,0,54.833332,0,0,.0091185411,.012158055,.96048629,.30795923,.099959366,.4079186,,0,.13429523,329,,,,,.19476005,.40961319,.0077719544,,.039285969,.20199133,.0096230395,,.029329261,.19157469,,,.86626208,,,,,.87537521,10.97982,,,,,10.979389,.30347767,,,,,.30461961,.08941821,,,,,.087974027,.04124834,,,,,.037812151,.083475783,,,,,.084366813,.11112354,,,,,.11258061,,,,,Rural
5099934,2018,Orleans Central Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.67107582,.32892415,72.666664,0,.0045871558,.01146789,.0068807341,.94495416,.5389325,.098331302,.63726383,,.0052910051,.19929454,436,,,,,.2606653,.30121389,.069235362,,.054382689,.076934248,.092777923,,.034284323,.063238107,,-.016015418,-.1983328,,,,,-.10567419,10.638557,,,,,10.64972,.22609724,,,,,.22737792,.1736705,,,,,.15473181,.052330069,,,,,.048536651,.18364497,,,,,.16506995,.15965249,,,,,.15098812,,,,,Rural
5099935,2018,Orleans Southwest Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.13763234,.86236769,72.333336,0,.0023041475,.01843318,.0046082949,.93548387,.47479257,.12372743,.59851998,,.0086621754,.20692974,434,,,,,.25038925,.23547053,.024358762,,.041149832,.072584338,.032334641,,.027516961,.069348477,,.033868093,.55251694,,,,,.59687006,10.807323,,,,,10.825303,.27614099,,,,,.27512255,.090813518,,,,,.087813087,.047997847,,,,,.046437804,.13938117,,,,,.12887451,.0882992,,,,,.083532318,,,,,Rural
5099936,2018,Rutland Northeast Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.71864629,.28135368,118,0,.0042372881,.024011299,.0084745763,.92372882,.31547415,.082573831,.39804798,,.0046534706,.15976916,708,,,,,.17453562,.08543998,.02580226,,.044215161,.019133301,.033302404,,.037094008,.016506927,,.0028294735,.82662898,,,,,.88768864,10.866026,,,,,10.894463,.32639128,,,,,.32229581,.10412244,,,,,.098383307,.034068063,,,,,.028856875,.084162012,,,,,.079280138,.10224307,,,,,.10562249,,,,,Rural
5099940,2018,Rutland City Supervisory District,Pre-Kindergarten,12,50,VT,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,136.66667,.0012195122,.01097561,.026829269,.024390243,.89512193,.46939015,.04204271,.51143289,,.008314088,.16027714,820,,,,,-6.8433939e-09,-3.3552567e-09,-7.2384337e-10,,0,0,0,,0,0,0,0,-.11657278,,,,,-.12876679,10.633142,,,,,10.622247,.27512038,,,,,.27019712,.13966705,,,,,.13625202,.045255456,,,,,.044301618,.18270299,,,,,.17611589,.20544711,,,,,.18832202,,,,,Town
5099942,2018,Harwood Unified Union Supervisory District,Pre-Kindergarten,12,50,VT,0,0,.2433141,.75668591,0,0,0,0,0,0,0,.2433141,0,.14210802,.61457789,0,136.5,0,.013431014,.0061050062,.010989011,.94871795,.17124256,.066104613,.23734719,,.0047194548,.14787625,819,,,,,.12266252,.17159572,.010633111,,.014722358,.01830191,.009410874,,.017124237,.021256866,,-.000016966649,1.1815571,,,,,1.236203,11.039763,,,,,11.067241,.51064163,,,,,.51692539,.082609959,,,,,.074040301,.026617188,,,,,.027335564,.092354,,,,,.087372229,.12035032,,,,,.11934593,,,,,Rural
5099946,2018,Windham Central Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.40464547,.5953545,59.166668,0,.0028169013,.016901409,.02253521,.94084507,.32728016,.11434798,.44162816,,.0037220845,.19478908,355,,,,,.25088492,.29100397,.0087432032,,.074885905,.076419771,.011221231,,.076130196,.068013303,,.1118421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural
5099947,2018,Windham Northeast Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,.47428572,.52571428,0,0,0,0,0,0,0,.47428572,0,.45632654,.069387756,0,83.666664,0,0,.023904383,.0059760958,.93227094,.4748196,.086663805,.56148344,,.0073469388,.19918367,502,,,,,.041342914,.088504992,.0024809386,,.0037433153,.018210161,.0034115727,,-.00007352978,.017585617,,,.042580705,,,,,.12737662,10.743524,,,,,10.748302,.28654745,,,,,.29095459,.16274369,,,,,.14290372,.037979167,,,,,.036769733,.18460657,,,,,.17172053,.16682366,,,,,.15324691,,,,,Rural
5099948,2018,Windham Southeast Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,.74672323,.2532768,0,0,0,0,0,0,0,.74672323,0,0,.2532768,0,177.33333,0,.020676691,.053571429,.015977444,.84210527,.36219725,.098049164,.46024641,,.014263686,.16422513,1064,,,,,.15404673,.11321697,.037973903,,.023105016,.034693483,.047983799,,.036314931,.037103582,,-.0038432435,.076617949,,,,,.17977007,10.74743,,,,,10.794248,.41959131,,,,,.42546752,.14940563,,,,,.13974155,.066386744,,,,,.061533414,.16967472,,,,,.15462114,.18296926,,,,,.17223416,,,,,Town
5099949,2018,Windham Southwest Supervisory Union,Pre-Kindergarten,12,50,VT,0,0,0,1,0,0,0,0,0,0,0,0,0,.12155592,.87844408,0,51.166668,0,.0032573289,.0097719869,.0032573289,.97068405,.3350144,.15787813,.49289253,,.0048622368,.072933547,307,,,,,.12599295,.34663111,.059450351,,.015757576,.10992785,.073458716,,.015249267,.10992786,,.015249267,.58736581,,,,,.68011206,10.830281,,,,,10.821992,.32921296,,,,,.33274135,.097958721,,,,,.091880277,.04449391,,,,,.039277218,.10729537,,,,,.09723296,.15274791,,,,,.13769121,,,,,Rural
