sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj,sedaleaname_cov,gslo,gshi,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesall,sesasn,sesblk,seshsp,sesnam,seswht,lninc50all,lninc50asn,lninc50blk,lninc50hsp,lninc50nam,lninc50wht,baplusall,baplusasn,baplusblk,baplushsp,baplusnam,bapluswht,povertyall,povertyasn,povertyblk,povertyhsp,povertynam,povertywht,unempall,unempasn,unempblk,unemphsp,unempnam,unempwht,snapall,snapasn,snapblk,snaphsp,snapnam,snapwht,single_momall,single_momasn,single_momblk,single_momhsp,single_momnam,single_momwht,seswhtblk,seswhthsp,seswhtasn,seswhtnam,urbanicity
1919800,Moulton-Udell Community School District,2018,19,IA,0,all,all,0,5.5,164,12,13.66666666666667,0,-0.2222416157558378,0.0793668234064102,0.0801976438725297,-0.2703488312892546,0.0319376973965285,0.0339020860748411,Moulton-Udell Community School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14.166667,0.047058824,0,0.023529412,0.011764706,0.89411765,0.44013485,0.10904007,0.5491749,0.56097561,0,0.18421052,85,0,0,0,NA,-2.6212263e-8,-2.6212263e-8,6.3490004e-9,-2.4961606e-9,0,0,0,0,0,0,0,NA,0.13164972,NA,NA,NA,NA,0.19135135,10.717317,NA,NA,NA,NA,10.70997,0.19558077,NA,NA,NA,NA,0.19222325,0.13617028,NA,NA,NA,NA,0.11293752,0.055819448,NA,NA,NA,NA,0.047516216,0.1240699,NA,NA,NA,NA,0.12136554,0.11717546,NA,NA,NA,NA,0.11876513,NA,NA,NA,NA,Rural
1919860,Mount Ayr Community School District,2018,19,IA,0,all,all,0,5.5,563,12,46.91666666666666,0,0.161805754929837,0.0415448268743555,0.0431108114641905,0.1779151249604325,0.0262699986632222,0.0286259978865263,Mount Ayr Community School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,49.333332,0,0,0.030405406,0.016891891,0.9391892,0.33953416,0.06457407,0.40410823,0.41843972,0.011146497,0.14171974,296,0,0,NA,NA,-2.4366658e-8,-3.6856731e-9,1.7449576e-8,5.4525568e-11,0,0,0,0,0,0,NA,NA,0.4418391,NA,NA,NA,NA,0.51840645,10.759627,NA,NA,NA,NA,10.775545,0.211823,NA,NA,NA,NA,0.21284395,0.10746411,NA,NA,NA,NA,0.10038517,0.04677039,NA,NA,NA,NA,0.040693756,0.1211574,NA,NA,NA,NA,0.11497156,0.10661599,NA,NA,NA,NA,0.1048254,NA,NA,NA,NA,Rural
1919890,Mount Pleasant Community School District,2018,19,IA,0,all,all,0,5.5,1678,12,139.8333333333333,0,-0.1513718051059086,0.0274032803529295,0.0297238826397572,-0.0895740995675934,0.0208852422579981,0.0237808382823016,Mount Pleasant Community School District,Pre-Kindergarten,12,0,0,0.93780851,0.062191509,0,0,0,0,0,0,0,0,0.93780851,0,0.062191509,0,141.83333,0.0023501762,0.041128084,0.11045828,0.034077555,0.77203292,0.40735838,0.073008381,0.48036677,0.51425177,0.060217176,0.12981243,851,0.051223282,0.028192475,-0.095478162,0.020201182,0.071820155,0.039220311,0.011914274,0.038112145,0.025864715,0.023689287,0.016035417,0.050473228,0.029408688,0.024428658,-0.011984892,0.018535972,0.45456761,NA,NA,NA,NA,0.55719692,10.778687,NA,NA,NA,NA,10.775081,0.20049313,NA,NA,NA,NA,0.20323269,0.10048551,NA,NA,NA,NA,0.083308123,0.037789196,NA,NA,NA,NA,0.037657794,0.10605037,NA,NA,NA,NA,0.097054355,0.14126506,NA,NA,NA,NA,0.12766576,NA,NA,NA,NA,Town
1920040,Mount Vernon Community School District,2018,19,IA,0,all,all,0,5.5,1281,12,106.75,0,0.4171005169063395,0.0316425294904694,0.0336722303632538,0.4047168045089998,0.0228878203234616,0.0255575281354198,Mount Vernon Community School District,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,106.66666,0.0015625,0.0062500001,0.028124999,0.0125,0.91874999,0.090619527,0.05357651,0.14419603,0.12948518,0.0049893088,0.065573767,640,0,0,0,0,-9.9215782e-9,-8.1053688e-9,-6.2390919e-9,-1.4051547e-8,0,0,0,0,0,0,0,0,1.4819784,NA,NA,NA,NA,1.5562055,11.215334,NA,NA,NA,NA,11.228449,0.46433073,NA,NA,NA,NA,0.46645984,0.064616472,NA,NA,NA,NA,0.06114408,0.02476036,NA,NA,NA,NA,0.027464297,0.062408786,NA,NA,NA,NA,0.034370609,0.097208962,NA,NA,NA,NA,0.10332971,NA,NA,NA,NA,Town
1920100,Murray Community School District,2018,19,IA,0,all,all,0,5.5,266,12,22.16666666666667,0,0.0246856183853888,0.0605687878841591,0.0616534467068717,0.0733259328672036,0.0300177608546701,0.0320998581299338,Murray Community School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.833334,0,0,0.05839416,0.00729927,0.92700732,0.33895549,0.12308829,0.46204379,0.47368422,0.0091463411,0.11585366,137,0,0,NA,NA,-2.3158885e-8,-3.7161794e-9,3.1729108e-10,-1.9947485e-8,0,0,0,0,0,0,NA,NA,0.34527692,NA,NA,NA,NA,0.46837342,10.652508,NA,NA,NA,NA,10.652546,0.14846162,NA,NA,NA,NA,0.15198967,0.12268397,NA,NA,NA,NA,0.10519029,0.05027369,NA,NA,NA,NA,0.042630937,0.086563118,NA,NA,NA,NA,0.079473071,0.10855768,NA,NA,NA,NA,0.10525196,NA,NA,NA,NA,Rural
1920130,Muscatine Community School District,2018,19,IA,0,all,all,0,5.5,4485,12,373.75,0,-0.1641738634954507,0.0168411303703845,0.0204008111905653,-0.1777766757108363,0.0147985566116689,0.0186636599578561,Muscatine Community School District,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,375.5,0.004882379,0.0093209054,0.29205504,0.048379939,0.61384821,0.49589023,0.069313489,0.56520373,0.49532712,0.068395264,0.14822376,2253,0.02383242,0.063858263,0.070815481,-0.074992351,0.048072334,0.055809632,0.045911375,0.051788695,0.021595379,0.067732893,0.060962476,0.068038188,0.025435111,0.063656725,0.077414408,-0.060596164,0.35418341,NA,NA,-0.30444017,NA,0.55669147,10.819145,NA,NA,10.601627,NA,10.866787,0.23364992,NA,NA,0.11479327,NA,0.25403714,0.12967239,NA,NA,0.13990045,NA,0.11305952,0.028774235,NA,NA,0.041527148,NA,0.02518568,0.099453464,NA,NA,0.10693119,NA,0.088629559,0.19907871,NA,NA,0.26613486,NA,0.1710794,NA,0.88390189,NA,NA,Town
1920190,Nashua-Plainfield Community School District,2018,19,IA,0,all,all,0,5.5,516,12,43,0,0.0606476535492526,0.0444911725588507,0.0459568695707424,0.1047278913113397,0.0269334914297051,0.0292360716551953,Nashua-Plainfield Community School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,43.166668,0.0038610038,0,0.0038610038,0.011583012,0.93436295,0.24913812,0.093669221,0.34280732,0.37984496,0.007640311,0.21138194,259,0,0,0,NA,-1.4561527e-8,-1.8200332e-8,-1.4458099e-8,-7.4274267e-9,0,0,0,0,0,0,0,NA,0.98378605,NA,NA,NA,NA,0.99620789,10.980489,NA,NA,NA,NA,10.986245,0.17736764,NA,NA,NA,NA,0.17880282,0.072918765,NA,NA,NA,NA,0.070386097,0.03474392,NA,NA,NA,NA,0.034188226,0.0652982,NA,NA,NA,NA,0.065876223,0.066578895,NA,NA,NA,NA,0.070774965,NA,NA,NA,NA,Rural
1920250,Nevada Community School District,2018,19,IA,0,all,all,0,5.5,1328,12,110.6666666666667,0,0.1877790741594301,0.0289501699763789,0.0311557661876904,0.1677463392145102,0.0219702663933798,0.0247391901773236,Nevada Community School District,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,112.83334,0.0029542097,0.014771049,0.084194981,0.023633678,0.82570165,0.27057239,0.046817232,0.31738964,0.32680723,0.020253165,0.11708861,677,0,0,0,0,1.0504078e-9,1.6180728e-8,-1.1858742e-8,-3.4755034e-9,0,0,0,0,0,0,0,0,0.67114931,NA,NA,NA,NA,0.76906902,10.971268,NA,NA,NA,NA,10.978818,0.33012962,NA,NA,NA,NA,0.33556932,0.13790426,NA,NA,NA,NA,0.12023863,0.024261873,NA,NA,NA,NA,0.026572829,0.10431108,NA,NA,NA,NA,0.094715342,0.15008618,NA,NA,NA,NA,0.13123813,NA,NA,NA,NA,Town
1920340,New Hampton Community School District,2018,19,IA,0,all,all,0,5.5,802,12,66.83333333333333,0,0.1618112790926451,0.0354966942343467,0.0373173515492124,0.1493948808632772,0.024322653424379,0.0268500725294397,New Hampton Community School District,Pre-Kindergarten,12,0,0,0.66604304,0.33395696,0,0,0,0,0,0,0,0.66604304,0,0.33395696,0,0,67.166664,0,0.0049627791,0.042183623,0.017369727,0.92555833,0.27970177,0.055133197,0.33483496,0.35660848,0.026192704,0.12815715,403,0,0,NA,0,-7.3314537e-9,-1.7456308e-8,5.0261555e-9,-1.099823e-8,0,0,0,0,0,0,NA,0,0.91901368,NA,NA,NA,NA,0.98870289,10.803496,NA,NA,NA,NA,10.810691,0.15113308,NA,NA,NA,NA,0.15433365,0.082350723,NA,NA,NA,NA,0.073746167,0.019808503,NA,NA,NA,NA,0.022587363,0.05840018,NA,NA,NA,NA,0.052778374,0.052792706,NA,NA,NA,NA,0.042483069,NA,NA,NA,NA,Town
1920460,New London Community School District,2018,19,IA,0,all,all,0,5.5,488,12,40.66666666666666,0,-0.0662989391794561,0.0456489224762043,0.047078589064662,-0.051488987192954,0.027221031054481402,0.0295011772121512,New London Community School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41.666668,0.0040000002,0,0.035999998,0.052000001,0.88,0.29464489,0.054842949,0.34948784,0.36475411,0.0054744524,0.09854015,250,0,0,0,NA,1.1650913e-8,-1.4830217e-8,8.7544336e-9,7.6718925e-9,0,0,0,0,0,0,0,NA,-0.18417527,NA,NA,NA,NA,-0.069738902,10.748016,NA,NA,NA,NA,10.777379,0.16181913,NA,NA,NA,NA,0.16366246,0.13642415,NA,NA,NA,NA,0.11771567,0.068198964,NA,NA,NA,NA,0.05617097,0.13259552,NA,NA,NA,NA,0.12398644,0.16766895,NA,NA,NA,NA,0.15685855,NA,NA,NA,NA,Rural
